163.com,123.58.180.7
2345.com,180.101.190.147
360.cn,36.99.170.84
4399.com,129.211.129.109
4shared.com,204.155.149.43
56.com,183.232.65.145
7k7k.com,157.185.179.197
about.com,151.101.2.137
adobe.com,23.220.206.5
alibaba.com,47.246.136.125
alipay.com,110.75.129.5
amazon.co.jp,52.119.168.48
amazon.com,52.94.236.248
ameblo.jp,199.232.210.133
andysayler.com,159.89.253.85
answers.com,151.101.0.203
aol.com,74.6.136.150
apple.com,17.253.144.10
ask.com,151.101.70.114
baidu.com,39.156.66.10
bbc.co.uk,151.101.0.81
bing.com,13.107.21.200
blogger.com,108.177.112.191
blogspot.com,173.194.194.191
cnet.com,34.149.196.126
cnn.com,151.101.131.5
craigslist.org,208.82.237.129
dailymotion.com,195.8.215.136
daum.net,121.53.105.193
ebay.com,209.140.136.254
ebay.de,209.140.136.254
ehow.com,104.64.32.250
facebook.com,157.240.254.35
fc2.com,199.48.210.152
flickr.com,99.84.171.73
go.com,23.236.60.174
goo.ne.jp,114.179.184.93
hao123.com,39.156.68.154
hotfile.com,18.207.9.28
hotmail.com,204.79.197.212
hp.com,15.73.104.147
ifeng.com,82.156.59.186
imageshack.us,208.94.3.19
imdb.com,52.94.228.167
jp.msn.com,13.82.28.61
ku6.com,117.50.1.222
kugou.com,49.7.81.5
linkedin.com,13.107.42.14
live.com,204.79.197.212
livedoor.jp,
mail.ru,217.69.139.200
mediafire.com,104.16.53.48
microsoft.com,20.112.52.29
mozilla.com,44.236.48.31
msn.com,13.82.28.61
myspace.com,34.150.242.72
mywebsearch.com,34.117.28.143
naver.com,223.130.200.104
nifty.com,222.158.213.148
odnoklassniki.ru,217.20.155.13
orkut.com,216.239.34.21
orkut.com.br,200.160.2.95
paipai.com,106.39.169.133
partypoker.com,195.72.135.91
paypal.com,64.4.250.36
pconline.com.cn,183.61.120.237
photobucket.com,13.249.85.18
pps.tv,116.211.199.232
qiyi.com,111.206.13.63
qq.com,123.151.137.18
rakuten.co.jp,133.237.16.234
rapidshare.com,0.0.0.0
renren.com,120.133.12.124
sdjjdsaf.com,
seesaa.net,13.249.85.84
sina.com.cn,36.51.254.91
skype.com,20.112.52.29
softonic.com,35.227.233.104
sogou.com,119.28.109.132
sohu.com,123.125.116.28
soku.com,106.11.47.19
soso.com,119.28.109.132
taobao.com,140.205.220.96
tianya.cn,124.225.206.22
tmall.com,140.205.94.193
tudou.com,106.11.43.107
twitter.com,104.244.42.65
vkontakte.ru,87.240.132.78
walmart.com,161.165.150.170
weather.com,23.63.173.149
wikipedia.org,208.80.153.224
windows.com,20.112.52.29
wmfo.org,23.92.21.128
wordpress.com,192.0.78.9
xunlei.com,121.41.61.107
yahoo.co.jp,183.79.217.124
yahoo.com,74.6.231.20
yandex.ru,5.255.255.70
youdao.com,103.74.50.106
youku.com,106.11.43.158
youtube.com,74.125.202.93
zynga.com,18.160.200.71
