163.com,123.58.180.7
2345.com,42.62.4.52
360.cn,220.181.24.100
4399.com,115.182.52.231
4shared.com,74.117.178.55
56.com,59.32.213.232
7k7k.com,115.182.59.33
about.com,207.241.148.80
adobe.com,192.150.16.117
alibaba.com,205.204.96.36
alipay.com,110.75.143.33
amazon.co.jp,54.240.250.0
amazon.com,72.21.194.212
ameblo.jp,180.233.142.129
andysayler.com,198.199.109.206
answers.com,67.196.156.65
aol.com,205.188.101.58
apple.com,17.178.96.59
ask.com,66.235.120.127
baidu.com,220.181.111.86
bbc.co.uk,212.58.244.18
bing.com,204.79.197.200
blogger.com,74.125.129.191
blogspot.com,74.125.129.191
cnet.com,64.30.224.118
cnn.com,157.166.226.26
craigslist.org,208.82.238.129
dailymotion.com,195.8.215.136
daum.net,61.111.62.173
ebay.com,66.211.160.88
ebay.de,66.135.200.23
ehow.com,98.124.247.46
facebook.com,173.252.110.27
fc2.com,54.241.180.47
flickr.com,69.147.76.173
go.com,68.71.220.3
goo.ne.jp,218.213.142.230
hao123.com,180.149.132.19
hotfile.com,199.7.177.216
hotmail.com,65.55.85.12
hp.com,15.240.60.238
ifeng.com,210.51.19.61
imageshack.us,208.94.0.193
imdb.com,72.21.210.29
jp.msn.com,202.89.231.47
ku6.com,122.11.45.242
kugou.com,183.61.119.254
linkedin.com,216.52.242.86
live.com,65.55.206.154
livedoor.jp,125.6.149.67
mail.ru,217.69.139.201
mediafire.com,205.196.120.13
microsoft.com,65.55.58.201
mozilla.com,63.245.217.194
msn.com,65.55.206.228
myspace.com,216.178.46.224
mywebsearch.com,74.113.233.48
naver.com,202.131.30.11
nifty.com,210.131.4.217
odnoklassniki.ru,217.20.147.94
orkut.com,74.125.129.86
orkut.com.br,74.125.129.86
paipai.com,112.90.77.176
partypoker.com,194.150.36.34
paypal.com,66.211.169.66
pconline.com.cn,219.136.245.40
photobucket.com,209.17.68.100
pps.tv,58.83.190.154
qiyi.com,202.108.14.15
qq.com,163.177.65.160
rakuten.co.jp,202.72.51.22
rapidshare.com,154.46.193.6
renren.com,220.181.181.222
sdjjdsaf.com,
seesaa.net,59.106.98.139
sina.com.cn,202.108.33.60
skype.com,91.190.218.46
softonic.com,46.28.209.20
sogou.com,106.120.151.163
sohu.com,123.125.116.19
soku.com,123.126.99.35
soso.com,183.61.32.183
taobao.com,110.75.20.163
tianya.cn,124.225.135.222
tmall.com,110.75.20.163
tudou.com,123.126.98.173
twitter.com,199.59.150.39
vkontakte.ru,87.240.156.165
walmart.com,161.170.244.20
weather.com,96.8.80.132
wikipedia.org,208.80.154.224
windows.com,64.4.11.37
wmfo.org,23.92.21.128
wordpress.com,192.0.82.252
xunlei.com,58.251.57.175
yahoo.co.jp,182.22.59.229
yahoo.com,98.139.183.24
yandex.ru,213.180.193.11
youdao.com,61.135.218.27
youku.com,119.167.145.19
youtube.com,74.125.239.130
zynga.com,74.114.13.1
